ticket,symbol,type,profit,strategy,comment,open_time,close_time
496,NZDUSD,BUY,-3.3000000000005247,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
498,NZDUSD,SELL,-3.7000000000009248,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
499,GBPCAD,SELL,-8.5556007101155,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
500,BTCAUD,SELL,283.2028920000038,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
501,US30_x10,SELL,-2.900000000001456,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
502,US30,SELL,-0.2900000000001456,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
503,GBPNZD,SELL,-19.02733000000106,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
504,EURCHF,BUY,-7.430262577923045,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
505,BTCUSD,SELL,31.819000000000234,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
506,GBPNZD,BUY,9.996447999999909,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
507,USDJPY,SELL,1.3588451110703823,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
508,AUDUSD,SELL,5.199999999999649,FB_4H_5M,FB|4H_5M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
509,BTCAUD,SELL,-285.6862680000057,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
510,EURCHF,SELL,-6.296832693156048,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
512,GBPJPY,SELL,-9.317795047333458,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
515,BTCCNH,BUY,-375.08924661073956,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
516,BTCUSD,BUY,-52.27300000000105,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
517,BTCJPY,BUY,-70.29629294112318,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
518,BTCJPY,SELL,93.29765825692526,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
519,BTCAUD,BUY,-148.2510120000038,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
522,BTCUSD,SELL,52.951999999998954,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
523,BTCCNH,SELL,327.96281144779107,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
524,BTCJPY,SELL,55.79418026051002,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
525,XAGUSD,BUY,-125.50000000000239,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
527,NZDCAD,BUY,-4.491690372809648,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
528,CADJPY,BUY,-6.082449544787425,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
529,GBPCAD,SELL,-7.985227329442188,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
530,US500_x100,SELL,-167.60000000000218,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
531,US500,SELL,-1.676000000000022,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
532,CADJPY,SELL,-3.6235869628515935,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
533,USDCAD,SELL,-3.2796469388782676,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
535,BTCZAR,SELL,-243.5350209149478,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
537,EURNZD,SELL,-5.45260800000041,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
538,BTCAUD,SELL,-239.71113600000191,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
539,USTEC_x100,BUY,254.900000000016,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
540,USTEC,BUY,2.5490000000001602,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
541,BTCUSD,BUY,54.40400000000082,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
542,BTCCNH,BUY,253.48853911572232,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
543,BTCZAR,BUY,-598.7645765753754,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
544,BTCAUD,BUY,204.78049199999433,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
545,EURNZD,BUY,-6.872557999999623,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
546,GBPNZD,SELL,-9.087679999999002,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
547,ETHUSD,BUY,-4.030999999999994,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
548,ETHUSD,SELL,-0.07100000000000364,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
550,GBPUSD,SELL,-4.299999999999304,TB_15M_1M,TB|15M_1M|RTCV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
552,EURCHF,SELL,-2.51873307726186,FB_4H_5M,FB|4H_5M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
555,XAGUSD,SELL,39.99999999999915,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
561,GBPJPY,SELL,-8.864846676978503,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
562,GBPUSD,SELL,-1.0999999999983243,TB_15M_1M,TB|15M_1M|RTCV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
564,BTCAUD,BUY,-54.6342719999943,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
534,US500,BUY,-1.7270000000000438,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:51:00+00:00
560,GBPCAD,SELL,-7.557447293935226,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:51:00+00:00
551,NZDCAD,BUY,-4.562987045393615,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:57:00+00:00
559,GBPNZD,SELL,-12.89314600000123,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:57:00+00:00
494,CHFJPY,SELL,9.317795047333458,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:59:00+00:00
556,ETHUSD,SELL,5.467999999999984,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 21:04:00+00:00
563,BTCZAR,SELL,140.72926589790416,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 21:04:00+00:00
565,BTCAUD,SELL,112.56882000000002,TB_15M_1M,TB|15M_1M|RTCV,2025-11-14 20:44:00+00:00,2025-11-14 21:04:00+00:00
568,US500_x100,SELL,23.80000000000109,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:46:00+00:00,2025-11-14 21:09:00+00:00
569,US500,SELL,0.23800000000001093,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:46:00+00:00,2025-11-14 21:09:00+00:00
571,USTEC,SELL,-3.3909999999996217,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:51:00+00:00,2025-11-14 21:11:00+00:00
570,CADJPY,SELL,-4.464776793514868,FB_4H_5M,FB|4H_5M|BVRVDIV,2025-11-14 20:46:00+00:00,2025-11-14 21:16:00+00:00
488,USDCAD,BUY,-6.0602171696664,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 21:20:00+00:00
495,USDZAR,BUY,-45.139796528815516,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 21:21:00+00:00
576,BTCCNH,BUY,-140.59069638408317,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 21:17:00+00:00,2025-11-14 21:28:00+00:00
497,GBPUSD,BUY,9.099999999999664,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 21:29:00+00:00
574,GBPCAD,BUY,-12.762104392589285,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:56:00+00:00,2025-11-14 21:31:00+00:00
553,USDCAD,SELL,4.562987045394406,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 21:39:00+00:00
580,GBPCAD,SELL,-14.473224534610802,TB_15M_1M,TB|15M_1M|BVRT,2025-11-14 21:35:00+00:00,2025-11-14 21:49:00+00:00
554,GBPUSD,BUY,3.6999999999998145,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 21:56:00+00:00
577,USDCAD,SELL,-6.345403860002263,TB_4H_5M,TB|4H_5M|RT,2025-11-14 21:20:00+00:00,2025-11-14 21:56:00+00:00
575,GBPCAD,SELL,-9.553754126295775,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 21:05:00+00:00,2025-11-14 21:59:00+00:00
566,BTCUSD,SELL,-46.58099999999977,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 22:01:00+00:00
567,BTCCNH,SELL,-247.00363745949582,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 22:01:00+00:00
584,BTCAUD,SELL,-300.91328399999816,TB_15M_1M,TB|15M_1M|RTCV,2025-11-14 22:15:00+00:00,2025-11-14 22:31:00+00:00
585,BTCUSD,SELL,-54.35299999999989,TB_15M_1M,TB|15M_1M|BVRTCV,2025-11-14 22:17:00+00:00,2025-11-14 22:31:00+00:00
586,BTCCNH,SELL,-307.0928347821614,TB_15M_1M,TB|15M_1M|BVRTCV,2025-11-14 22:17:00+00:00,2025-11-14 22:31:00+00:00
581,BTCUSD,BUY,20.431999999999245,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 21:44:00+00:00,2025-11-14 22:50:00+00:00
588,BTCAUD,BUY,-277.3212119999943,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 22:30:00+00:00,2025-11-14 23:03:00+00:00
587,BTCCNH,BUY,-288.3492862383454,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 22:21:00+00:00,2025-11-14 23:04:00+00:00
589,BTCAUD,SELL,169.75182,TB_15M_1M,TB|15M_1M|BVRT,2025-11-14 22:56:00+00:00,2025-11-14 23:11:00+00:00
594,BTCJPY,SELL,-9.735154617161566,TB_15M_1M,TB|15M_1M|RT,2025-11-14 23:18:00+00:00,2025-11-14 23:38:00+00:00
595,BTCCNH,BUY,-226.68287070613073,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 23:52:00+00:00,2025-11-14 23:56:00+00:00
