Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
USDCHF,FB_4H_5M,USDCHF_FB_4H_5M,3,1,2,33.33333333333333,-21.031421195141,2.1409231156728605,23.172344310813862,0.09239130434781921,-7.010473731713667,-7.010473731713667
GOOGL,FB_4H_5M,GOOGL_FB_4H_5M,2,0,2,0.0,-22.50000000000057,0.0,22.50000000000057,0.0,-11.250000000000284,-11.250000000000284
GBPUSD,FB_4H_5M,GBPUSD_FB_4H_5M,5,1,4,20.0,-22.90000000000125,33.90000000000004,56.80000000000129,0.5968309859154801,-4.58000000000025,-4.58000000000025
JPM,FB_15M_1M,JPM_FB_15M_1M,3,1,2,33.33333333333333,-23.10000000000116,13.799999999999386,36.900000000000546,0.3739837398373762,-7.7000000000003865,-7.7000000000003865
USDCAD,TB_4H_5M,USDCAD_TB_4H_5M,5,0,5,0.0,-24.668648714164647,0.0,24.668648714164647,0.0,-4.933729742832929,-4.933729742832929
USOIL,FB_15M_1M,USOIL_FB_15M_1M,2,0,2,0.0,-26.599999999999824,0.0,26.599999999999824,0.0,-13.299999999999912,-13.299999999999912
NZDJPY,FB_15M_1M,NZDJPY_FB_15M_1M,3,0,3,0.0,-29.829885533476027,0.0,29.829885533476027,0.0,-9.943295177825343,-9.943295177825343
GBPUSD,TB_4H_5M,GBPUSD_TB_4H_5M,7,2,5,28.57142857142857,-32.500000000001975,15.299999999998093,47.80000000000007,0.3200836820083278,-4.642857142857425,-4.642857142857425
USDCNH,FB_15M_1M,USDCNH_FB_15M_1M,5,0,5,0.0,-36.473171095787734,0.0,36.473171095787734,0.0,-7.294634219157547,-7.294634219157547
GBPCAD,FB_15M_1M,GBPCAD_FB_15M_1M,9,3,6,33.33333333333333,-38.2150165051831,37.14556641641332,75.36058292159642,0.49290444654679477,-4.246112945020345,-4.246112945020345
GBPJPY,FB_4H_5M,GBPJPY_FB_4H_5M,7,3,4,42.857142857142854,-40.765353332083876,30.21812699378251,70.98348032586638,0.4257064721968982,-5.823621904583411,-5.823621904583411
GBPNZD,TB_4H_5M,GBPNZD_TB_4H_5M,2,0,2,0.0,-42.20091399999902,0.0,42.20091399999902,0.0,-21.10045699999951,-21.10045699999951
GBPAUD,FB_15M_1M,GBPAUD_FB_15M_1M,3,1,2,33.33333333333333,-44.76612000000015,3.594359999997428,48.36047999999758,0.07432432432427485,-14.92204000000005,-14.92204000000005
COST,FB_15M_1M,COST_FB_15M_1M,2,0,2,0.0,-44.90000000000123,0.0,44.90000000000123,0.0,-22.450000000000614,-22.450000000000614
